Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Sub-Category,Sales,Profit,Quantity,Discount,Payment Method
100001,2024-01-26,CUST9935,Customer 357,West,Karnataka,Office Supplies,Notebook,37206.75,4939.82,2,0.05,UPI
100002,2024-08-26,CUST7873,Customer 903,West,Delhi,Electronics,Mobile,25515.09,5907.67,9,0.0,Cash
100003,2025-12-15,CUST2674,Customer 380,West,Karnataka,Electronics,Mobile,21419.41,2291.44,6,0.1,Cash
100004,2024-02-14,CUST2291,Customer 2262,East,Gujarat,Furniture,Sofa,36621.72,3065.35,7,0.2,Cash
100005,2025-12-22,CUST4814,Customer 414,West,Tamil Nadu,Office Supplies,Pen,3942.98,1108.88,2,0.05,Net Banking
100006,2024-06-15,CUST3803,Customer 2188,South,Maharashtra,Office Supplies,Paper,18823.96,4770.88,2,0.05,Net Banking
100007,2025-10-17,CUST4752,Customer 132,East,Kerala,Furniture,Sofa,34564.02,8894.91,1,0.05,Cash
100008,2025-08-03,CUST7482,Customer 2634,West,Maharashtra,Electronics,Mobile,43880.2,5371.34,8,0.1,Cash
100009,2025-07-28,CUST7543,Customer 1483,South,Maharashtra,Electronics,Mobile,27179.38,4503.0,10,0.2,Net Banking
100010,2024-04-22,CUST2040,Customer 1577,West,Delhi,Electronics,Laptop,8065.65,2309.69,7,0.05,Net Banking
100011,2025-07-20,CUST9797,Customer 1093,East,Karnataka,Office Supplies,Paper,43108.6,11366.73,2,0.0,Cash
100012,2025-04-09,CUST9317,Customer 436,East,Gujarat,Furniture,Table,660.64,216.3,3,0.1,Card
100013,2024-06-14,CUST6310,Customer 2002,North,Karnataka,Electronics,Monitor,27199.26,8105.2,10,0.2,Cash
100014,2024-02-29,CUST8962,Customer 284,South,Maharashtra,Furniture,Table,12423.14,3797.46,2,0.2,Net Banking
100015,2024-09-28,CUST9835,Customer 2990,South,Gujarat,Office Supplies,Pen,26619.85,4372.24,4,0.2,Cash
100016,2025-03-24,CUST2049,Customer 1385,North,Delhi,Furniture,Sofa,45030.9,4060.49,4,0.15,Card
100017,2024-01-08,CUST6413,Customer 291,South,Tamil Nadu,Office Supplies,Pen,4014.16,569.27,1,0.0,Net Banking
100018,2025-08-07,CUST4119,Customer 387,North,Gujarat,Electronics,Mobile,29022.48,8252.46,7,0.05,Net Banking
100019,2025-02-24,CUST1993,Customer 1650,East,Karnataka,Furniture,Desk,23617.72,6183.32,2,0.0,Card
100020,2025-07-03,CUST5092,Customer 309,West,Delhi,Electronics,Mobile,22706.37,2430.53,8,0.15,UPI
100021,2024-04-05,CUST8886,Customer 876,West,Karnataka,Electronics,Laptop,46355.17,5442.28,8,0.05,Card
100022,2025-02-03,CUST8973,Customer 635,South,Tamil Nadu,Furniture,Chair,13627.55,1833.14,9,0.15,Card
